Type Of Data,Normal Variables,Normal Variables with PCA,Standard Scaled Variables,Standard Scaled Variables with PCA,Robust Scaled Variables,Robust Scaled Variables with PCA,MinMax Scaled Variables,MinMax Scaled Variables with PCA
MAE,821.795,678.002,365.059,940.685,362.85,939.757,438.588,940.688
MSE,1383311.929,1093322.927,475835.195,2261749.889,459946.716,2259791.988,558835.307,2261749.761
RMSE,1176.143,1045.621,689.808,1503.912,678.194,1503.26,747.553,1503.911
R^2,-0.001,0.209,0.656,-0.637,0.667,-0.636,0.595,-0.637
Standard Error,1178.819,1046.412,691.74,1179.035,679.539,1179.039,746.6,1179.039
